"SYMBOL 
","COMPANY NAME 
","TYPE 
","QUARTER END DATE 
","TYPE OF SUBMISSION 
","DETAILS 
","ATTACHMENT 
","XBRL 
","BROADCAST DATE/TIME 
","REVISED DATE/TIME 
","REVISION REMARKS 
","EXCHANGE DISSEMINATION TIME 
","TIME TAKEN 
"
"BDL","Bharat Dynamics Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412318_11042025010450_WEB.xml","11-Apr-2025 13:04:48",,,"11-Apr-2025 13:04:50","00:00:02"
"JISLDVREQS","Jain Irrigation Systems Limited","Integrated Filing- Governance","31-MAR-2025","New",,,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412315_11042025010313_WEB.xml","11-Apr-2025 13:03:13",,,"11-Apr-2025 13:03:13","00:00:00"
"ABSLAMC","Aditya Birla Sun Life Amc Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412314_11042025010200_WEB.xml","11-Apr-2025 13:01:58",,,"11-Apr-2025 13:02:00","00:00:02"
"JISLJALEQS","Jain Irrigation Systems Limited","Integrated Filing- Governance","31-MAR-2025","New",,,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412306_11042025125628_WEB.xml","11-Apr-2025 12:56:28",,,"11-Apr-2025 12:56:29","00:00:01"
"GANGOTRI","Gangotri Textiles Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412297_11042025124924_WEB.xml","11-Apr-2025 12:49:20",,,"11-Apr-2025 12:49:24","00:00:04"
"JSFB","Jana Small Finance Bank Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412289_11042025124532_WEB.xml","11-Apr-2025 12:45:29",,,"11-Apr-2025 12:45:32","00:00:03"
"PRAKASHSTL","Prakash Steelage Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412276_11042025123704_WEB.xml","11-Apr-2025 12:37:00",,,"11-Apr-2025 12:37:05","00:00:05"
"ANANDRATHI","Anand Rathi Wealth Limited","Integrated Filing- Financials","31-MAR-2025","Original","https://nsearchives.nseindia.com/corporate/ixbrl/INTEGRATED_FILING_INDAS_84712_11042025122559_iXBRL_WEB.html",,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_INDAS_1412254_11042025122559_WEB.xml","11-Apr-2025 12:25:59",,,"11-Apr-2025 12:25:59","00:00:00"
"MTEDUCARE","MT Educare Limited","Integrated Filing- Governance","31-MAR-2025","Revision",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412253_11042025122522_WEB.xml",,"11-APR-2025 12:25:18",,"11-Apr-2025 12:25:22","00:00:04"
"MTEDUCARE","MT Educare Limited","Integrated Filing- Governance","31-MAR-2025","New",,,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412251_11042025122411_WEB.xml","11-Apr-2025 12:24:11",,,"11-Apr-2025 12:24:12","00:00:01"
"SALZERELEC","Salzer Electronics Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412235_11042025120738_WEB.xml","11-Apr-2025 12:07:35",,,"11-Apr-2025 12:07:38","00:00:03"
"WIPL","The Western India Plywoods Limited","Integrated Filing- Governance","31-MAR-2025","New",,,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412185_11042025114214_WEB.xml","11-Apr-2025 11:42:14",,,"11-Apr-2025 11:42:15","00:00:01"
"IPCALAB","IPCA Laboratories Limited","Integrated Filing- Governance","31-MAR-2025","New",,,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412148_11042025110954_WEB.xml","11-Apr-2025 11:09:54",,,"11-Apr-2025 11:09:55","00:00:01"
"SATIA","Satia Industries Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412131_11042025104550_WEB.xml","11-Apr-2025 10:45:47",,,"11-Apr-2025 10:45:50","00:00:03"
"JAICORPLTD","Jai Corp Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412128_11042025104028_WEB.xml","11-Apr-2025 10:40:25",,,"11-Apr-2025 10:40:28","00:00:03"
"BANARISUG","Bannari Amman Sugars Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412121_11042025103032_WEB.xml","11-Apr-2025 10:30:28",,,"11-Apr-2025 10:30:32","00:00:04"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412105_11042025092738_WEB.xml","11-Apr-2025 09:27:34",,,"11-Apr-2025 09:27:39","00:00:05"
"TCS","Tata Consultancy Services Limited","Integrated Filing- Financials","31-MAR-2025","Revision","https://nsearchives.nseindia.com/corporate/ixbrl/INTEGRATED_FILING_INDAS_84691_11042025074137_iXBRL_WEB.html",,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_INDAS_1412101_11042025074137_WEB.xml",,"11-APR-2025 07:41:37","Standalone Xml was uploaded, however consolidated xml couldnot be uploaded.","11-Apr-2025 07:41:38","00:00:01"
"TCS","Tata Consultancy Services Limited","Integrated Filing- Financials","31-MAR-2025","Original","https://nsearchives.nseindia.com/corporate/ixbrl/INTEGRATED_FILING_INDAS_84690_11042025001008_iXBRL_WEB.html",,"https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_INDAS_1412100_11042025121002_WEB.xml","11-Apr-2025 00:10:07",,,"11-Apr-2025 00:10:08","00:00:01"
"VEEDOL","Veedol Corporation Limited","Integrated Filing- Governance","31-MAR-2025","New",,"https://nsearchives.nseindia.com/corporate/null","https://nsearchives.nseindia.com/corporate/xbrl/INTEGRATED_FILING_GOVERNANCE_1412044_10042025074638_WEB.xml","10-Apr-2025 19:46:35",,,"10-Apr-2025 19:46:38","00:00:03"
