"SYMBOL 
","NAME OF THE COMPANY 
","PERIOD ENDED 
","REG.7 
","REG.40 
","REG40 BROADCAST DATE/TIME 
","REG40 EXCHANGE DISSEMINATION TIME 
","REG40 TIME TAKEN 
","REG7 EXCHANGE RECEIVED TIME 
","REG7 EXCHANGE DISSEMINATION TIME 
","REG7 TIME TAKEN 
"
"GOKEX","Gokaldas Exports Limited","31-MAR-2024","https://nsearchives.nseindia.com/corporate/Regulation7_3_GEL31March2024GEL08042024_04082024185004_4.zip","https://nsearchives.nseindia.com/corporate/Regulation40_9_GEL31March2024GEL08042024_04082024190003_3.zip","08-Apr-2024 19:00:03","08-Apr-2024 19:30:04","00:30:01","08-Apr-2024 18:50:04","08-Apr-2024 19:15:02","00:24:58"
"GOKEX","Gokaldas Exports Limited","31-MAR-2023","https://nsearchives.nseindia.com/corporate/rtacertificate_04102023162005_2.zip","https://nsearchives.nseindia.com/corporate/pcscertifcate_04112023163003_1.zip","11-Apr-2023 16:30:23","11-Apr-2023 17:00:27","00:30:04","10-Apr-2023 16:20:23","10-Apr-2023 16:45:01","00:24:38"
"GOKEX","Gokaldas Exports Limited","31-MAR-2022","https://nsearchives.nseindia.com/corporate/LD140422_04142022190003_1.zip","https://nsearchives.nseindia.com/corporate/LD16042022_04162022115003_1.zip","16-Apr-2022 11:50:07","16-Apr-2022 12:15:02","00:24:55","14-Apr-2022 19:00:06","14-Apr-2022 19:30:08","00:30:02"
"GOKEX","Gokaldas Exports Limited","31-MAR-2021","https://nsearchives.nseindia.com/corporate/Reg7m21_04082021165015_6.zip","https://nsearchives.nseindia.com/corporate/Reg40_04162021192003_1.zip","16-Apr-2021 19:20:09","16-Apr-2021 19:45:03","00:24:54","08-Apr-2021 16:50:23","08-Apr-2021 17:15:03","00:24:40"
"GOKEX","Gokaldas Exports Limited","30-SEP-2020","https://nsearchives.nseindia.com/corporate/Reg7_3__10152020144015_6.zip","https://nsearchives.nseindia.com/corporate/Reg40_10__10152020145003_1.zip","15-Oct-2020 14:50:11","15-Oct-2020 15:00:32","00:10:21","15-Oct-2020 14:40:18","15-Oct-2020 15:00:32","00:20:14"
"GOKEX","Gokaldas Exports Limited","31-MAR-2020","https://nsearchives.nseindia.com/corporate/Reg73_05132020070002_1.zip","https://nsearchives.nseindia.com/corporate/Reg40mrgd_05132020070002_2.zip","13-May-2020 07:00:03","13-May-2020 07:30:02","00:29:59","13-May-2020 07:00:03","13-May-2020 07:30:02","00:29:59"
"GOKEX","Gokaldas Exports Limited","30-SEP-2019","https://nsearchives.nseindia.com/corporate/Reg73_11242019152003_5.zip","https://nsearchives.nseindia.com/corporate/Reg40_11242019152001_1.zip","24-Nov-2019 15:20:04","24-Nov-2019 15:45:01","00:24:57","24-Nov-2019 15:20:04","24-Nov-2019 15:45:01","00:24:57"
"GOKEX","Gokaldas Exports Limited","31-MAR-2019","https://nsearchives.nseindia.com/corporate/Regsebi7331march19_04232019145812_1141.zip","https://nsearchives.nseindia.com/corporate/HYR31032019_04232019151056_2039.zip","23-Apr-2019 15:12:07","23-Apr-2019 15:30:10","00:18:03","23-Apr-2019 15:12:07","23-Apr-2019 15:30:10","00:18:03"
